Name,RegID,Status,ClinicName,Link
Mahtab Abbaskhanidavanlou,502346,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502346
Banafsheh Abbasnezhad-Ghadi,37778,Member,Baycrest Hospital Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=37778
Ali Abbas-Tehrani,119977,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119977
Hesam Abbas-Tehrani,109317,Member,True North Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=109317
Keyvan Abbaszadeh,13678,Member,Interface Centre for OMS,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13678
Shervin Abbaszadeh,55775,Member,Clearly Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=55775
Patricia Abbey,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10680
Simon Abbey,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=55250
Justin Abbott,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96909
Natalie Abbott,12891,Member,Abbott Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12891
Paul Abbott,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7847
Wade Abbott,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118572
William Abbott,8048,Member,Interface Centre for OMS,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=8048
Hala Abboud,115872,Member,Dentistry in Streetsville,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115872
Islam Abdalilah,501501,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501501
Ahmed Abdalla,116104,Member,Grand Valley Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116104
Mae Abdalla,59527,Member,Harvard Rd Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=59527
Mohamed Nur Abdallah,113599,Member,Restoration Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113599
Rania Abdallah,48675,Member,Viva Dental Centers Ontario,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=48675
Zaid Abdal-Majid,104093,Member,Water Street Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=104093
Fatih Laith Fathallah Abdalnoor,500934,Member,7Dental Tenth Line,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=500934
Marium Abdeen,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12798
Shrouk Abdelaty,503193,Member,Brockington Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503193
Angham Abdelaziz,108001,Member,Burlington Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108001
Heba Abdel-Fattah,122531,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122531
Ahmed Abdelgader,114786,Member,Greenstone Dental Longlac Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114786
Khaled Abdel-Gawad,85171,Member,Sante Dental Highbury,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85171
Yousef Abdelghaffar,121954,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121954
Osama Abdelhadi,505189,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=505189
Mohamed Abdelhamid,501974,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501974
Rula Abdel-Kader,118269,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118269
Nourelhoda Abdelmaged,150453,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150453
Adel Abdelmagid,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13932
Miran Abdelmalek,117561,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117561
Marym Abdelmaseh,122141,Member,Wychwood Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122141
Mohamed Abdelrahman,116138,Member,Vista Dental and Denture Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116138
Mona Abdelrehim,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502583
Brigitte Abdilla,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150730
Adam Abdo,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101241
Elham Abdollahi Mofakham,99640,Member,Dentistry on Leslie,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99640
Ryan Abdool,85213,Member,Broadway Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85213
Ramiz Abdouni,501469,Member,Beacon Hill Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501469
Salma Abdu,69185,Member,Old South Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=69185
Raya Abdul Fatah,35877,Member,Royal Crown Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=35877
Alia Abdul Majeed,119875,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119875
Charles Abdul Nour,50522,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=50522
Francesca Abdul Nour,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150315
Ban Abdul Rahman,88391,Member,Moonstone Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88391
Bashar Abdul Rahmann,118032,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118032
Zainab Abdulameer,114868,Member,Kerr Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114868
Saraa Abdulateef,503148,Member,Humber Bay Dentist,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503148
Farah Abdulazeez,99299,Member,Caledonia Smiles Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99299
Omar Abdulghafoor,104489,Member,Harbourview Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=104489
Aseel Abdulghani,111211,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=111211
Mace Abdulkarim,92337,Member,Family Dentistry on King,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92337
Sohair Abdul-Karim,88869,Member,Etobicoke Dental Walk-In Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88869
Mohammed Abdul-Khaliq,503157,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503157
Tania Abdulla,13344,Member,Wonderland Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13344
Ali Abdullah,501665,Member,Providence Care Hospital,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501665
Hanin Abdullah,109111,Member,Sunny Ridge Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=109111
Mustafa Abdullah,105034,Member,Limoges Dental Centre/Centre dentaire Limoges,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105034
Omar Abdullah,99945,Member,Dentistry on Queen,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99945
Zakiya Abdullah,502790,Member,Tomalty Dental Care of Coconut Creek,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502790
Mariam Abdulle,59731,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=59731
Firas Abdulmajeed,101036,Member,123 Edward Street Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101036
Hussain Abdulmajeed,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501537
Rand Abdulrahem,100935,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100935
Abdulhalim Abdulrahman,105035,Member,Riverpark Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105035
Zeyad Abdulrazzaq,121017,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121017
Khamael Abdulridha,95988,Member,White Lily Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=95988
Hani Abd-Ul-Salam,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13276
Uno Abe,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=5547
Kimberly Abelho,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150255
Deborah Aber,55859,Member,Little Pearls Pediatric Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=55859
Abraham Aberback,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7848
Beverley Aberback,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10083
Denis Abergel,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=56638
Nazli Abhari,501771,Member,Dentistry on Jane,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501771
Sneha Abhyankar,102192,Member,Humber Valley Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=102192
Vrushali Abhyankar,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121716
Caroline Abi Azar,150649,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150649
Joel Abikhzer,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=77240
Walid Abi-Mrad,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=57451
Genevieve Abi-Nahed,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=61382
Jocelyne Abi-Nahed,65234,Member,Orthodontically Yours,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=65234
Gerald Abish,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10624
Jose Abitbol,88392,Member,Chesswood Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88392
Sarah Abitbol Benarroch,13687,Member,Coronation Dental Specialty Group,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13687
Ibrahim Aboobacker,504593,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=504593
Guy Aboodi,81313,Member,GA Periodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81313
Violette Abou Khalil,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=106124
Mona Abou Nasr,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12221
Abdoul Abou Sharbin,93328,Member,Smiles on Seventh,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=93328
Mohamed Abou Sharbin,61342,Member,Smiles on Seventh,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=61342
Darin Abou Teima,119645,Member,Martindale Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119645
Khawla Aboudiab,108116,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108116
Kamil Abou-Kheir,13065,Member,Cedars Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13065
Mustafa Abouzgia,12861,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12861
Ashley Abraham,96775,Member,St. Clair Dental Associates,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96775
David Abraham,503108,Member,Platinum Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503108
Maxwell Abraham,96910,Member,Abraham Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96910
Seena Abraham,38960,Member,MKS Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=38960
Soumya Abraham,503314,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503314
Odette Abrahamians,13082,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13082
Alex Abrahamovitz,7624,Member,Albion Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7624
Edward Abrahams,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4801
Margaret Abrahem,115002,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115002
Daphna Abramov,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14124
Andrew Abramowicz,12086,Member,The Manor Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12086
Frederick Abrams,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4891
Stephen Abrams,9119,Member,Cliffcrest Family Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9119
M. Abramson,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=5458
Sameen Abrar,116979,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116979
Banafsheh Abrishami,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=91253
Nader Abrishamkar,107521,Member,Dentistry of Richmond,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=107521
Adel Abtahi,92167,Member,St. Andrews Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92167
Adib Abtahi,77464,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=77464
Bashar Abu Al-Soof,150122,Member,West Ridge Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150122
Mahmood Abu Ruja',117690,Member,Prosthodontic Associates,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117690
Farah Abu Sharkh,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117048
Mohamad Abu Sharkh,123320,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123320
Reem Abu Thiab,122045,Member,West Road Family Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122045
Nour Abuali,501671,Member,Alba Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501671
Isam Abu-Alkhair,81400,Member,Delta Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81400
Issam Abualreesh,113351,Member,Docbraces Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113351
Dorar Abudaqa,100886,Member,Chiron Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100886
Khaled Abughazaleh,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13705
Huda Abu-Jarad,64785,Member,Aqua Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=64785
Sally Abuklam,100937,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100937
Khaled Abul Sharaf,61230,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=61230
Rana Aburgaiba,121025,Member,Amethyst Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121025
Zaima Abushawashi,502960,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502960
Mohamad Abusheikha,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=98387
Raghda Abusultan,108073,Member,Burlington Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108073
accounting_alllanguages.com,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150059
Gary Accursi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7400
Sante Aceti,11859,Member,Kennedy East Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11859
Nabil Achache,105193,Member,Highbury Park Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105193
Falgun Acharya,501909,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501909
Roger Achong,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13399
John Ackerman,4077,Deceased,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4077
John Ackersviller,505471,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=505471
CCDI Activities,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150185
Marjan Adabi,123545,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123545
David Adachi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9714
Gordon Adair,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4810
Eva Adam,92229,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92229
Jonathan Adam,52499,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=52499
Gabriela Adamache,38896,Member,Kilborn Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=38896
Jessica Adamczyk,123371,Member,Canadian Forces Base - Kingston,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123371
Elzbieta Adamiak,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13048
Eugene Adamo,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6072
Andrew-Christian Adams,85172,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85172
Arthur Adams,9764,Deceased,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9764
Deborah Adams,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150319
John Adams,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=5929
Kenneth Adams,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11742
Laura Adams,85202,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85202
Ralph Adams,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=5797
Sabrina Adams,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150192
Stephen Adams,12186,Member,Family Dental Practice,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12186
Thomas Adams,72842,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=72842
Malgorzata Adamska,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10307
Bryce Adamson,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101642
Sabrina Adat,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10094
Alykhan Adatia,63993,Member,Dentistry on Erb,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=63993
Minaz Adatia,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10681
Sharina Adatia,11322,Member,Corktown Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11322
Archana Adavelli,113725,Member,Dentistry on Derry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113725
Harry Adeghe (Out of Province),,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150228
Azita Adelimosayyeb,501088,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501088
Oludamilola Ademidun,503115,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503115
Dimitrios Aderriotis,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12795
Najib Adi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68801
Mehdi Adib Moradi Langroudi,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=84693
Ali Adibfar,11773,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11773
Maryam Adibfar,11323,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11323
Mona Adib-Moradi Langroudi,503107,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503107
Mehdi Adibrad,99682,Member,MINA Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99682
Jason Adinata,92168,Member,416 Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92168
Herbert Adirim,6371,Deceased,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6371
Bob Adler,9052,Member,Bathurst St. Clair Dental Studio,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9052
Zeena Adnan,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105036
Caley Adolph-Nadon,92169,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92169
Josephine Adorna,39156,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=39156
Sam Adouri,68233,Member,Bartlett & Main Family Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68233
Joseph Adragna,123641,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123641
Nicole Marie Adriano,502719,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502719
Hesham Ads,108153,Member,Queenswood Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108153
Tamer Ads,95631,Member,Queenswood Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=95631
Chandan Advani,68771,Member,Urban Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=68771
Practice Advisory,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150039
Daniela Affaqui Torcaty,115930,Member,Alora Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115930
Gillian Affoo,10475,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10475
Parastoo Afghari,502926,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502926
Hammad Afif,49805,Member,Waterview Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=49805
Florentino Afonso,11174,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=11174
Mona Afrand,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88626
Kourosh Afrashteh,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=53554
Majid Afrasiabifar,502070,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502070
Armaghan Afsar,13866,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13866
Mehdi Afshar,76750,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=76750
Yasaman Afshar,117972,Member,Caledonia Smiles Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117972
Naureen Aftab,112301,Member,Victoria Street Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=112301
Armita Afzalimehr,501069,Member,Stouffville Smiles Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501069
Timothy Agapas,10627,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10627
Lyle Agar,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10336
Ronald Agar,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=6760
Ambika Agarwal,505334,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=505334
Anjali Agarwal,100938,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100938
Arun Agarwal,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150245
Seema Agarwal,13681,Member,Dentistry At The Mill,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13681
Vijay Agarwal,,,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14161
John Agate,8625,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=8625
Thomas Agate,4298,Deceased,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4298
Peter Agathos,10682,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10682
Rebecca Agbuya,,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=48755
Anuj Aggarwal,101145,Member,"Faculty of Dentistry, University of Toronto",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101145
Manish Aggarwal,53108,Member,Bronte Family Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=53108
Prateek Aggarwal,503056,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503056
Sonia Aggarwal,53418,Member,Health Canada First Nations and Inuit Health Branch,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=53418
John Aggett,4299,Deceased,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4299
Siavash Agha Balaei Khordehchi,504161,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=504161
Mojgan Agha-Amiri,14091,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14091
Emad Aghaei,107570,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=107570
Shiva Aghaha,115583,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115583
Seyed Aghaie Kakroudi,37909,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=37909
Ali Aghajanpoor,124735,Member,Northwood Family Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=124735
Fereidoun Agha-Razi,57185,Member,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=57185
Paiman Aghasi,14037,Member,Smilecare Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14037
Farshad Aghdasi,,Not Entitled to Practice,,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12806
Maral Aghourian Namagerdy,117545,Member,Riverside South Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117545
