Name,RegID,Status,ClinicName,Link,Specialty,PrimaryPractice,PPAddress,city
Justin Abbott,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96909,NA,NA,NA,NA
Natalie Abbott,12891,Member,Abbott Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12891,NA,Abbott Dental Centre,"90 Sheppard Ave E #106, Toronto, ON, CA, M2N 3A1",Toronto
Paul Abbott,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7847,NA,NA,NA,NA
Wade Abbott,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118572,NA,NA,NA,NA
William Abbott,8048,Member,Interface Centre for OMS,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=8048,Oral & Maxillofacial Surgeon,Interface Centre for OMS,"220 Oxford St W, London, ON, CA, N6H 1S4",London
Hala Abboud,115872,Member,Dentistry in Streetsville,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115872,NA,Dentistry in Streetsville,"100 Queen St S #101, Mississauga, ON, CA, L5M 1K8",Mississauga
Islam Abdalilah,501501,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501501,NA,NA,"100 Queen St S #101, Mississauga, ON, CA, L5M 1K8",Mississauga
Ahmed Abdalla,116104,Member,Grand Valley Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116104,NA,Grand Valley Dental,"21 Main St N, Grand Valley, ON, CA, L9W 5S6",Grand Valley
Mae Abdalla,59527,Member,Harvard Rd Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=59527,NA,Harvard Rd Dental Care,"35 Harvard Rd #23, Guelph, ON, CA, N1G 3A2",Guelph
Mohamed Nur Abdallah,113599,Member,Restoration Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=113599,Orthodontist,Restoration Orthodontics,"8255 Anchor Dr, Windsor, ON, CA, N8N 5E5",Windsor
Rania Abdallah,48675,Member,Viva Dental Centers Ontario,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=48675,NA,Viva Dental Centers Ontario,"130 St-Philippe St CP 640, Alfred, ON, CA, K0B 1A0",Alfred
Zaid Abdal-Majid,104093,Member,Water Street Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=104093,NA,Water Street Dentistry,"60 Water St, St. Mary's, ON, CA, N4X 1A3",St. Mary's
Fatih Laith Fathallah Abdalnoor,500934,Member,7Dental Tenth Line,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=500934,NA,7Dental Tenth Line,"2288 Tenth Line Rd, Orleans, ON, CA, K4A 0X4",Orleans
Marium Abdeen,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12798,NA,NA,NA,NA
Shrouk Abdelaty,503193,Member,Brockington Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503193,NA,Brockington Dental,"1725 Kingston Rd #11, Pickering, ON, CA, L1V 4L9",Pickering
Angham Abdelaziz,108001,Member,Burlington Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108001,NA,Burlington Dental Centre,"1435 Plains Rd E #4, Burlington, ON, CA, L7R 3P9",Burlington
Heba Abdel-Fattah,122531,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122531,NA,Lincoln Dental Care,"1036 Upper James St, Hamilton, ON, CA, L9C 3A8",Hamilton
Ahmed Abdelgader,114786,Member,Greenstone Dental Longlac Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114786,NA,Greenstone Dental Longlac Office,"101 King St Unit C , PO Box 1019, Longlac, ON, CA, P0T 2A0",Longlac
Khaled Abdel-Gawad,85171,Member,Sante Dental Highbury,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85171,NA,Sante Dental Highbury,"1550 Highbury Ave N, London, ON, CA, N5Y 5N7",London
Yousef Abdelghaffar,121954,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121954,NA,NA,"1401 Plains Rd E #4, Burlington, ON, CA, L7R 0C2",Burlington
Osama Abdelhadi,505189,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=505189,NA,NA,"1401 Plains Rd E #4, Burlington, ON, CA, L7R 0C2",Burlington
Mohamed Abdelhamid,501974,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501974,NA,NA,"1401 Plains Rd E #4, Burlington, ON, CA, L7R 0C2",Burlington
Rula Abdel-Kader,118269,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118269,NA,NA,"330 Phillip St #106, Waterloo, ON, CA, N2L 3W9",Waterloo
Nourelhoda Abdelmaged,150453,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150453,NA,NA,"330 Phillip St #106, Waterloo, ON, CA, N2L 3W9",Waterloo
Adel Abdelmagid,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13932,NA,NA,NA,NA
Miran Abdelmalek,117561,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117561,NA,NA,"8405 Financial Dr #4, Brampton, ON, CA, L6Y 1M1",Brampton
Marym Abdelmaseh,122141,Member,Wychwood Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122141,NA,Wychwood Dental,"710B St Clair Ave W, Toronto, ON, CA, M6C 1B3",Toronto
Mohamed Abdelrahman,116138,Member,Vista Dental and Denture Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116138,NA,Vista Dental and Denture Clinic,"2483 Alta Vista Dr, Ottawa, ON, CA, K1H 7N2",Ottawa
Mona Abdelrehim,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502583,NA,NA,NA,NA
Brigitte Abdilla,NA,NA,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150730,NA,NA,NA,NA
Adam Abdo,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101241,NA,NA,NA,NA
Elham Abdollahi Mofakham,99640,Member,Dentistry on Leslie,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99640,NA,Dentistry on Leslie,"4800 Leslie St #104, Toronto, ON, CA, M2J 2K9",Toronto
Ryan Abdool,85213,Member,Broadway Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85213,NA,Broadway Dental Centre,"306 Broadway St, Orangeville, ON, CA, L9W 1L3",Orangeville
Ramiz Abdouni,501469,Member,Beacon Hill Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501469,NA,Beacon Hill Dental Centre,"2501 Guelph Line #4, Burlington, ON, CA, L7M 2A3",Burlington
Salma Abdu,69185,Member,Old South Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=69185,NA,Old South Dentistry,"140 Wortley Rd, London, ON, CA, N6C 3P5",London
Raya Abdul Fatah,35877,Member,Royal Crown Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=35877,NA,Royal Crown Dental Clinic,"1843 Merivale Rd #B, Ottawa, ON, CA, K2G 1E3",Ottawa
Alia Abdul Majeed,119875,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119875,NA,NA,"93 Sanatorium Rd, Hamilton, ON, CA, L9C 1Y6",Hamilton
Charles Abdul Nour,50522,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=50522,NA,Rideau River Dental,"389 Rideau St, Ottawa, ON, CA, K1N 5Y6",Ottawa
Francesca Abdul Nour,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150315,NA,NA,NA,NA
Ban Abdul Rahman,88391,Member,Moonstone Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88391,NA,Moonstone Dental Centre,"2525 Hempshire Gate #4A, Oakville, ON, CA, L6H 6C8",Oakville
Bashar Abdul Rahmann,118032,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=118032,NA,NA,"2690 Erin Centre Blvd #5-6, Mississauga, ON, CA, L5M 5P5",Mississauga
Zainab Abdulameer,114868,Member,Kerr Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114868,NA,Kerr Dental Clinic,"374 Kerr, Oakville, ON, CA, L6K 3B8",Oakville
Saraa Abdulateef,503148,Member,Humber Bay Dentist,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503148,Prosthodontist,Humber Bay Dentist,"LS2-2183 Lake Shore Blvd W, Etobicoke, ON, CA, M8V 0J2",Etobicoke
Farah Abdulazeez,99299,Member,Caledonia Smiles Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99299,NA,Caledonia Smiles Family Dentistry,"232 Argyle St S, Caledonia, ON, CA, N3W 1K8",Caledonia
Omar Abdulghafoor,104489,Member,Harbourview Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=104489,NA,Harbourview Dental,"1455 Lakeshore Rd #G15, Burlington, ON, CA, L7S 2J1",Burlington
Aseel Abdulghani,111211,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=111211,NA,Monarch Dentistry,"989 Fennell Ave E #23, Hamilton, ON, CA, L8T 1R1",Hamilton
Mace Abdulkarim,92337,Member,Family Dentistry on King,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92337,NA,Family Dentistry on King,"1183 King St E, Kitchener, ON, CA, N2G 2N3",Kitchener
Sohair Abdul-Karim,88869,Member,Etobicoke Dental Walk-In Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88869,NA,Etobicoke Dental Walk-In Clinic,"222 Dixon Rd #206, Etobicoke, ON, CA, M9P 3S5",Etobicoke
Mohammed Abdul-Khaliq,503157,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503157,NA,NA,"222 Dixon Rd #206, Etobicoke, ON, CA, M9P 3S5",Etobicoke
Tania Abdulla,13344,Member,Wonderland Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13344,NA,Wonderland Dental Office,"1061 Wonderland Rd S #3, London, ON, CA, N6K 3X4",London
Ali Abdullah,501665,Member,Providence Care Hospital,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501665,NA,Providence Care Hospital,"752 King St W, Kingston, ON, CA, K7L 4X3",Kingston
Hanin Abdullah,109111,Member,Sunny Ridge Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=109111,NA,Sunny Ridge Dental Care,"105 Dufay Rd #F4, Brampton, ON, CA, L7A 4J1",Brampton
Mustafa Abdullah,105034,Member,Limoges Dental Centre/Centre dentaire Limoges,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105034,NA,Limoges Dental Centre/Centre dentaire Limoges,"601 Limoges Rd #A, Limoges, ON, CA, K0A 2M0",Limoges
Omar Abdullah,99945,Member,Dentistry on Queen,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=99945,NA,Dentistry on Queen,"311 Queen St E, Kingston, ON, CA, K7K 1B7",Kingston
Zakiya Abdullah,502790,Member,Tomalty Dental Care of Coconut Creek,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502790,NA,Tomalty Dental Care of Coconut Creek,"6746 N State Rd 7, Coconut Creek, FL, US, 33073",NA
Mariam Abdulle,59731,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=59731,NA,NA,"2011 Lawrence Ave W #13, Toronto, ON, CA, M9N 3V3",Toronto
Firas Abdulmajeed,101036,Member,123 Edward Street Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101036,NA,123 Edward Street Dental,"123 Edward St #905, Toronto, ON, CA, M5G 1E2",Toronto
Hussain Abdulmajeed,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501537,NA,NA,NA,NA
Rand Abdulrahem,100935,Member,The Tooth Corner Dental Offices,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=100935,NA,The Tooth Corner Dental Offices,"216 Oak Park Blvd #116, Oakville, ON, CA, L6H 7S8",Oakville
Abdulhalim Abdulrahman,105035,Member,Riverpark Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=105035,NA,Riverpark Dental,"305 Boler Rd, London, ON, CA, N6K 2K1",London
Zeyad Abdulrazzaq,121017,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121017,NA,The Dental Office on Lake Street,"168 Lake St, St. Catharines, ON, CA, L2R 5Y7",St. Catharines
Khamael Abdulridha,95988,Member,White Lily Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=95988,NA,White Lily Dental,"3075 Hospital Gate #209, Oakville, ON, CA, L6M 1M1",Oakville
Hani Abd-Ul-Salam,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13276,NA,NA,NA,NA
Uno Abe,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=5547,NA,NA,NA,NA
Kimberly Abelho,NA,NA,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150255,NA,NA,NA,NA
Deborah Aber,55859,Member,Little Pearls Pediatric Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=55859,Paediatric Dentist,Little Pearls Pediatric Dentistry,"81 Billy Bishop Way #D2, Toronto, ON, CA, M3K 0C2",Toronto
Abraham Aberback,NA,Not Entitled to Practice,"Conditions, Concerns and/or Professional Misconduct",https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7848,NA,NA,NA,NA
Beverley Aberback,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10083,NA,NA,NA,NA
Denis Abergel,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=56638,NA,NA,NA,NA
Nazli Abhari,501771,Member,Dentistry on Jane,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501771,NA,Dentistry on Jane,"9441 Jane St #117, Maple, ON, CA, L6A 4H8",Maple
Sneha Abhyankar,102192,Member,Humber Valley Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=102192,NA,Humber Valley Dental,"19-21 West St, Corner Brook, NL, CA, A2H 2Y6",NA
Vrushali Abhyankar,NA,NA,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121716,NA,NA,NA,NA
Caroline Abi Azar,150649,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150649,NA,NA,"19-21 West St, Corner Brook, NL, CA, A2H 2Y6",NA
Joel Abikhzer,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=77240,NA,NA,NA,NA
Walid Abi-Mrad,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=57451,NA,NA,NA,NA
Genevieve Abi-Nahed,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=61382,NA,NA,NA,NA
Jocelyne Abi-Nahed,65234,Member,Orthodontically Yours,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=65234,"Orthodontist
 Public Health Dentist",Orthodontically Yours,"2227 South Millway #102, Mississauga, ON, CA, L5L 3R6",Mississauga
Gerald Abish,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10624,NA,NA,NA,NA
Jose Abitbol,88392,Member,Chesswood Dental Office,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=88392,NA,Chesswood Dental Office,"3750 Chesswood Dr #2, Toronto, ON, CA, M3J 2W6",Toronto
Sarah Abitbol Benarroch,13687,Member,Coronation Dental Specialty Group,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13687,Endodontist,Coronation Dental Specialty Group,"350 Conestoga Blvd #B17, Cambridge, ON, CA, N1R 7L7",Cambridge
Ibrahim Aboobacker,504593,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=504593,NA,NA,"350 Conestoga Blvd #B17, Cambridge, ON, CA, N1R 7L7",Cambridge
Guy Aboodi,81313,Member,GA Periodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=81313,Periodontist,GA Periodontics,"77 Queensway W #300, Mississauga, ON, CA, L5B 1B7",Mississauga
Violette Abou Khalil,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=106124,NA,NA,NA,NA
Mona Abou Nasr,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12221,NA,NA,NA,NA
Abdoul Abou Sharbin,93328,Member,Smiles on Seventh,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=93328,NA,Smiles on Seventh,"780 Seventh St W, Cornwall, ON, CA, K6J 0A3",Cornwall
Mohamed Abou Sharbin,61342,Member,Smiles on Seventh,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=61342,NA,Smiles on Seventh,"780 Seventh St W, Cornwall, ON, CA, K6J 0A3",Cornwall
Darin Abou Teima,119645,Member,Martindale Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119645,NA,Martindale Dental Clinic,"100 Martindale Rd #1, St. Catharines, ON, CA, L2S 2Y3",St. Catharines
Khawla Aboudiab,108116,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108116,NA,NA,"100 Martindale Rd #1, St. Catharines, ON, CA, L2S 2Y3",St. Catharines
Kamil Abou-Kheir,13065,Member,Cedars Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13065,NA,Cedars Dental,"1407 Bank St #101, Ottawa, ON, CA, K1H 8N1",Ottawa
Mustafa Abouzgia,12861,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12861,Oral & Maxillofacial Surgeon,NA,"1D Conestoga Dr #100, Brampton, ON, CA, L6Z 4N5",Brampton
Ashley Abraham,96775,Member,St. Clair Dental Associates,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96775,NA,St. Clair Dental Associates,"65 St. Clair Ave E #100, Toronto, ON, CA, M4T 2Y3",Toronto
David Abraham,503108,Member,Platinum Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503108,NA,Platinum Dental,"496 Lawrence Ave W #30B, Toronto, ON, CA, M6A 1A2",Toronto
Maxwell Abraham,96910,Member,Abraham Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=96910,Orthodontist,Abraham Orthodontics,"185 Erie St S #1, Leamington, ON, CA, N8H 3B9",Leamington
Seena Abraham,38960,Member,MKS Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=38960,NA,MKS Dental,"7025 Markham Rd #2, Markham, ON, CA, L3S 0C2",Markham
Soumya Abraham,503314,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=503314,NA,NA,"7025 Markham Rd #2, Markham, ON, CA, L3S 0C2",Markham
Odette Abrahamians,13082,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13082,NA,NA,"188 Wilson Ave #4, Willowdale, ON, CA, M5M 4N7",Willowdale
Alex Abrahamovitz,7624,Member,Albion Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=7624,NA,Albion Dental Centre,"1530 Albion Rd #201, Etobicoke, ON, CA, M9V 1B4",Etobicoke
Edward Abrahams,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4801,NA,NA,NA,NA
Margaret Abrahem,115002,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=115002,NA,Safwat Dental Management,"30 Eglinton Ave W #11, Mississauga, ON, CA, L5R 3E7",Mississauga
Daphna Abramov,NA,NA,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14124,NA,NA,NA,NA
Andrew Abramowicz,12086,Member,The Manor Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=12086,NA,The Manor Dental Centre,"153 High St PO Box 850, Sutton West, ON, CA, L0E 1R0",Sutton West
Frederick Abrams,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=4891,NA,NA,NA,NA
Stephen Abrams,9119,Member,Cliffcrest Family Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9119,NA,Cliffcrest Family Dental,"2995 Kingston Rd, Scarborough, ON, CA, M1M 1P1",Scarborough
M. Abramson,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=5458,NA,NA,NA,NA
Sameen Abrar,116979,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116979,NA,NA,"2995 Kingston Rd, Scarborough, ON, CA, M1M 1P1",Scarborough
Banafsheh Abrishami,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=91253,NA,NA,NA,NA
Nader Abrishamkar,107521,Member,Dentistry of Richmond,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=107521,NA,Dentistry of Richmond,"11611 Yonge St, Richmond Hill, ON, CA, L4E 1G2",Richmond Hill
Adel Abtahi,92167,Member,St. Andrews Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=92167,NA,St. Andrews Dental,"141 St. Andrews St, Cambridge, ON, CA, N1S 1N2",Cambridge
Adib Abtahi,77464,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=77464,NA,NA,"13085 Yonge St #14-15, Richmond Hill, ON, CA, L4E 3S8",Richmond Hill
Bashar Abu Al-Soof,150122,Member,West Ridge Family Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150122,NA,West Ridge Family Dentistry,"3230 Monarch Dr #3, Orillia, ON, CA, L3V 8A2",Orillia
Mahmood Abu Ruja',117690,Member,Prosthodontic Associates,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117690,Prosthodontist,Prosthodontic Associates,"2300 Yonge St #905 PO Box 2334, Toronto, ON, CA, M4P 1E4",Toronto
Farah Abu Sharkh,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=117048,NA,NA,NA,NA
Mohamad Abu Sharkh,123320,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=123320,NA,NA,"2300 Yonge St #905 PO Box 2334, Toronto, ON, CA, M4P 1E4",Toronto
Reem Abu Thiab,122045,Member,West Road Family Dental Care,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=122045,NA,West Road Family Dental Care,"74 West Rd, Huntsville, ON, CA, P1H 1T4",Huntsville
Nour Abuali,501671,Member,Alba Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=501671,NA,Alba Dental Centre,"551 Oxford St W #104, London, ON, CA, N6H 0H9",London
